"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","neo","pha","diameter","sats"
"524531 (2002 XH91)",43.92,0.0870,4.98,80.39,187.74,40.102,47.74,291,7028,3,75,,,5.66,N,N,,1
"525462 (2005 EO304)",45.36,0.0636,3.42,93.86,152.28,42.476,48.25,306,7972,3,120,,,6.19,N,N,,1
"525816 (2005 SF278)",44.11,0.1944,13.33,101.63,320.48,35.536,52.69,293,6687,2,318,,,6.72,N,N,,1
"532037 (2013 FY27)",58.59,0.3976,33.28,186.93,139.80,35.291,81.89,448,4395,4,129,,,3.12,N,N,,1
"539940 (2017 HW1)",2.137,0.4594,33.96,41.32,168.84,1.155,3.12,3.12,3862,0,1470,,,18.01,Y,N,,1
"554099 (2012 KU50)",40.77,0.2434,18.89,66.76,126.42,30.849,50.70,260,7770,2,255,,,6.31,N,N,,1
"612088 (1999 CM158)",39.18,0.2765,9.30,339.06,163.49,28.346,50.02,245,6240,2,51,,,7.82,N,N,,1
"612095 (1999 OJ4)",38.29,0.0304,4.00,127.45,282.20,37.127,39.46,237,8441,4,66,,,7.05,N,N,,1
"612098 (1999 RM45)",1.684,0.6443,10.89,162.83,88.67,0.599,2.77,2.18,8799,0,1760,2,0,19.82,Y,Y,,1
"612141 (1999 XY143)",43.11,0.0822,7.15,255.36,82.53,39.565,46.65,283,8469,3,47,,,6.19,N,N,,1
"612147 (2000 CF105)",43.71,0.0358,0.53,56.78,50.05,42.147,45.28,289,7714,3,39,,,7.11,N,N,,1
"612176 (2000 QL251)",48.24,0.2210,3.66,223.36,100.89,37.581,58.90,335,7001,4,55,,,6.63,N,N,,1
"612203 (2000 WT169)",45.06,0.0132,1.74,110.51,248.95,44.466,45.65,302,6995,3,69,,,6.14,N,N,,1
"612239 (2001 QC298)",46.69,0.1298,30.52,334.69,5.66,40.627,52.75,319,8448,2,84,,,6.67,N,N,,1
"612242 (2001 QQ322)",44.38,0.0577,3.95,76.57,344.48,41.816,46.94,296,7323,3,104,,,6.58,N,N,,1
"612549 (2003 HG57)",43.39,0.0294,2.10,36.33,235.46,42.110,44.66,286,6979,4,30,,,6.35,N,N,,1
"612687 (2003 UN284)",42.85,0.0091,3.06,35.88,9.42,42.458,43.24,280,6231,4,39,,,7.45,N,N,,1
"612719 (2003 WU188)",44.19,0.0428,3.77,84.00,314.50,42.303,46.08,294,7031,3,60,,,6.36,N,N,,1
"612733 (2003 YU179)",46.68,0.1605,4.86,126.46,325.03,39.185,54.17,319,6643,3,39,,,6.93,N,N,,1
"613286 (2005 YQ96)",0.7435,0.3335,22.22,282.67,340.11,0.496,0.99,0.641,6559,0,99,5,4,20.63,Y,Y,,1
"       (1994 CJ1)",1.491,0.3256,2.31,172.03,65.27,1.005,1.98,1.82,8278,0,180,1,1,21.54,Y,Y,,1
"       (1998 WV24)",39.17,0.0405,1.52,183.52,166.16,37.588,40.76,245,8032,4,26,,,7.40,N,N,,1
"       (1998 WW31)",44.89,0.0833,6.78,237.02,55.22,41.145,48.62,301,7647,4,38,,,6.70,N,N,,1
"       (1999 RT214)",42.86,0.0534,2.57,138.02,211.41,40.572,45.15,281,8007,4,47,,,7.79,N,N,,1
"       (2001 FL185)",43.85,0.0718,3.56,75.46,64.98,40.703,47.00,290,7676,4,43,,,7.09,N,N,,1
"       (2001 QW322)",44.23,0.0186,4.81,124.68,81.88,43.408,45.06,294,8076,4,54,,,7.70,N,N,,1
"       (2002 BM26)",1.832,0.4448,16.22,319.61,180.53,1.017,2.65,2.48,1829,0,243,2,2,20.10,Y,Y,0.84,1
"       (2002 KK8)",1.953,0.4662,24.54,76.96,174.14,1.043,2.86,2.73,3996,0,110,1,1,21.00,Y,Y,,1
"       (2002 VF130)",46.05,0.1212,19.49,257.47,113.79,40.470,51.63,313,6582,5,24,,,6.80,N,N,,1
"       (2002 VD131)",45.49,0.0678,0.85,84.55,248.46,42.409,48.58,307,6557,4,19,,,6.60,N,N,,1
"       (2003 QY90)",43.04,0.0470,3.77,104.19,34.90,41.012,45.06,282,7707,4,47,,,6.47,N,N,,1
"       (2003 SS84)",1.931,0.5716,5.49,198.17,234.89,0.827,3.04,2.68,6028,0,267,3,1,21.95,Y,Y,,1
"       (2003 TJ58)",44.59,0.0912,0.95,37.09,12.41,40.526,48.66,298,6277,4,55,,,7.51,N,N,,1
"       (2003 YS179)",43.52,0.0215,3.72,86.50,130.35,42.585,44.46,287,6643,4,28,,,6.92,N,N,,1
"       (2004 HD79)",45.78,0.0361,1.30,159.34,232.92,44.122,47.43,310,3336,4,24,,,5.70,N,N,,1
"       (2004 HK79)",43.68,0.0753,1.95,68.98,184.50,40.389,46.96,289,4017,4,22,,,6.90,N,N,,1
"       (2004 KB19)",39.43,0.2204,17.19,44.07,286.96,30.739,48.12,248,3978,4,19,,,7.40,N,N,,1
"       (2004 KE19)",44.2,0.0465,1.18,292.40,255.55,42.145,46.25,294,5874,4,25,,,6.40,N,N,,1
"       (2004 MU8)",45.02,0.0808,3.58,109.76,334.24,41.386,48.66,302,6990,4,39,,,5.96,N,N,,1
"       (2004 PB108)",45.49,0.1148,20.17,147.37,270.83,40.267,50.71,307,6238,4,47,,,6.50,N,N,,1
"       (2004 PV117)",46.39,0.1558,4.32,329.23,316.69,39.160,53.62,316,6961,4,31,,,6.59,N,N,,1
"       (2004 PW117)",43.85,0.0549,1.86,81.46,70.90,41.442,46.26,290,6172,4,24,,,6.35,N,N,,1
"       (2004 PX117)",44.49,0.0939,3.75,120.08,74.36,40.313,48.67,297,6961,4,20,,,6.51,N,N,,1
"       (2005 BW49)",43.94,0.0746,2.10,58.81,121.19,40.667,47.22,291,6884,4,26,,,6.54,N,N,,1
"       (2005 CE81)",42.55,0.0439,3.08,103.81,38.93,40.684,44.42,278,5849,4,23,,,7.40,N,N,,1
"       (2005 GD187)",42.83,0.0241,0.70,354.41,347.62,41.799,43.86,280,5425,4,23,,,7.30,N,N,,1
"       (2005 LW3)",1.439,0.4638,6.02,59.58,288.67,0.772,2.11,1.73,6426,0,142,4,3,21.67,Y,Y,,1
"       (2005 VZ122)",41.48,0.1838,12.08,221.80,180.59,33.857,49.11,267,5873,4,29,,,7.28,N,N,,1
"       (2006 BR284)",43.69,0.0388,1.16,15.12,97.79,41.997,45.39,289,6943,3,44,,,6.73,N,N,,1
"       (2006 CH69)",45.6,0.0366,1.79,40.84,58.74,43.931,47.27,308,6610,4,30,,,6.58,N,N,,1
"       (2006 JV58)",44.81,0.0573,0.32,144.99,93.88,42.247,47.38,300,5518,4,44,,,6.63,N,N,,1
"       (2006 SF369)",63.32,0.3831,27.63,95.26,289.98,39.061,87.58,504,8803,4,58,,,6.83,N,N,,1
"       (2007 DS101)",43.81,0.0833,1.39,26.37,218.19,40.163,47.46,290,6610,4,35,,,6.67,N,N,,1
"       (2007 DT103)",2.207,0.5748,5.45,137.01,134.13,0.938,3.47,3.28,3869,0,786,1,2,19.70,Y,Y,,1
"       (2013 PY6)",2.282,0.4645,3.42,196.89,194.14,1.222,3.34,3.45,14004,0,840,,,19.32,Y,N,,1
"       (2013 WT44)",2.264,0.5656,12.21,182.68,325.84,0.984,3.54,3.41,3633,0,563,9,3,19.30,Y,Y,0.653,1
"       (2014 LQ28)",44.03,0.1041,1.29,223.60,157.78,39.444,48.61,292,4944,2,292,,,5.85,N,N,,1
"       (2014 WZ120)",2.211,0.6399,20.91,244.78,245.24,0.796,3.63,3.29,189,3,346,2,1,20.50,Y,Y,0.297,1
"       (2015 QL14)",43.8,0.1205,12.18,26.60,352.89,38.524,49.08,290,830,5,16,,,7.00,N,N,,1
"       (2015 RT245)",44.78,0.0882,0.96,330.34,348.29,40.834,48.73,300,2567,3,97,,,6.77,N,N,,1
"       (2015 RB280)",44.18,0.0765,2.16,201.66,118.40,40.802,47.56,294,2495,3,38,,,7.65,N,N,,1
"       (2015 RP280)",45.8,0.0925,3.47,232.66,49.35,41.561,50.04,310,1917,4,37,,,7.30,N,N,,1
"       (2015 TD144)",1.985,0.7590,1.65,25.44,104.40,0.478,3.49,2.8,12,3,125,2,1,22.60,Y,N,,1
"       (2015 VW168)",42.98,0.0404,1.95,96.77,211.79,41.246,44.72,282,1125,4,45,,,8.10,N,N,,1
"       (2015 VM173)",44.24,0.0503,2.43,183.50,102.55,42.011,46.46,294,1804,4,41,,,6.10,N,N,,1
"       (2016 AZ8)",1.321,0.3552,5.59,89.99,318.55,0.852,1.79,1.52,3504,0,377,4,1,21.08,Y,Y,0.215,1
"       (2017 RV1)",2.428,0.6262,2.05,292.14,123.11,0.908,3.95,3.78,260,3,509,1,1,20.08,Y,Y,,1
"       (2017 YE5)",2.821,0.7091,6.22,103.94,110.75,0.820,4.82,4.74,1825,0,355,5,3,19.30,Y,Y,,1
"       (2018 EB)",1.017,0.0122,29.44,194.55,126.88,1.004,1.03,1.03,1263,0,308,8,8,21.88,Y,Y,,1
"       (2018 TF3)",2.132,0.7171,6.87,51.56,76.62,0.603,3.66,3.11,2205,0,411,1,1,20.51,Y,Y,,1
"       (2020 AZ2)",1.88,0.3753,1.83,284.04,228.85,1.175,2.59,2.58,117,4,235,,,21.21,Y,N,,1
"       (2020 BX12)",1.6,0.5272,40.05,132.85,70.50,0.757,2.44,2.02,3664,0,173,1,1,20.63,Y,Y,,1
"       (2021 DM15)",45.66,0.0372,2.39,130.46,21.70,43.961,47.35,309,1130,5,16,,,7.34,N,N,,1
"       (2021 DN15)",44.05,0.0559,2.84,133.09,289.20,41.591,46.52,292,2919,4,18,,,6.72,N,N,,1
"       (2021 DS15)",43.48,0.0508,2.55,276.69,122.98,41.271,45.69,287,6709,4,41,,,6.01,N,N,,1
