"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","neo","pha","diameter","sats"
"  2037 Tripaxeptalis (1973 UB)",2.301,0.1319,4.25,9.46,346.11,1.997,2.60,3.49,18296,0,6616,,,13.40,N,N,5.956,1
"  2044 Wirt (1950 VE)",2.379,0.3454,23.98,53.62,50.33,1.558,3.20,3.67,26733,0,2963,,,13.14,N,N,6.66,1
"  2047 Smetana (1971 UA1)",1.872,0.0035,25.28,36.58,301.91,1.865,1.88,2.56,19090,0,3602,,,14.09,N,N,3.131,1
"  2070 Humason (1964 TQ)",2.25,0.1547,2.75,1.22,350.14,1.902,2.60,3.38,25295,0,3670,,,13.49,N,N,4.570,1
"  2121 Sevastopol (1971 ME)",2.184,0.1782,4.38,145.68,160.46,1.795,2.57,3.23,31851,0,8463,,,12.46,N,N,8.736,1
"  2131 Mayall (1975 RA)",1.887,0.1111,33.99,306.02,38.50,1.678,2.10,2.59,17421,0,6528,,,12.86,N,N,8.252,1
"  2171 Kiev (1973 QD1)",2.256,0.1662,7.51,102.04,180.04,1.881,2.63,3.39,27081,0,6109,,,12.87,N,N,8.035,1
"  2178 Kazakhstania (1972 RA2)",2.208,0.1545,3.07,11.40,350.92,1.867,2.55,3.28,26929,0,3672,,,13.74,N,N,4.313,1
"  2242 Balaton (1936 TG)",2.209,0.1171,2.54,343.83,96.21,1.950,2.47,3.28,31715,0,5703,,,13.56,N,N,5.833,1
"  2337 Boubin (1976 UH1)",2.594,0.1670,14.35,37.16,26.75,2.161,3.03,4.18,24945,0,4240,,,12.25,N,N,8.013,1
"  2343 Siding Spring (1979 MD4)",2.334,0.2552,1.77,218.04,155.45,1.738,2.93,3.57,21316,0,3956,,,13.47,N,N,5.197,1
"  2449 Kenos (1978 GC)",1.909,0.1681,24.99,179.83,102.25,1.588,2.23,2.64,16687,0,3737,,,13.96,N,N,,1
"  2478 Tokai (1981 JC)",2.225,0.0675,4.14,228.70,233.71,2.075,2.38,3.32,33359,0,4679,,,12.29,N,N,9.238,1
"  2486 Metsahovi (1939 FY)",2.269,0.0799,8.40,359.90,100.95,2.087,2.45,3.42,31030,0,4196,,,12.58,N,N,7.883,1
"  2491 Tvashtri (1977 CB)",1.878,0.0542,22.86,125.27,358.29,1.776,1.98,2.57,16934,0,3484,,,13.53,N,N,3.259,1
"  2500 Alascattalo (1926 GC)",2.24,0.1000,6.99,47.93,160.69,2.016,2.46,3.35,35545,0,7456,,,12.92,N,N,7.481,1
"  2516 Roman (1964 VY)",2.279,0.1646,1.09,123.41,313.32,1.904,2.65,3.44,21635,0,4072,,,13.66,N,N,4.408,1
"  2535 Hameenlinna (1939 DH)",2.24,0.0801,3.43,172.73,309.83,2.060,2.42,3.35,26206,0,7159,,,12.53,N,N,7.116,1
"  2577 Litva (1975 EE3)",1.904,0.1380,22.91,182.55,284.12,1.641,2.17,2.63,32570,0,4038,,,13.02,N,N,,2
"  2602 Moore (1982 BR)",2.384,0.1078,5.55,158.21,64.83,2.127,2.64,3.68,26730,0,4942,,,12.85,N,N,,1
"  2623 Zech (A919 SA)",2.255,0.2348,4.05,349.07,22.82,1.726,2.78,3.39,37947,0,11495,,,13.60,N,N,,1
"  2691 Sersic (1974 KB)",2.244,0.1135,3.59,319.75,277.56,1.989,2.50,3.36,26979,0,6369,,,13.49,N,N,5.438,1
"  2754 Efimov (1966 PD)",2.228,0.2326,5.71,275.08,91.26,1.710,2.75,3.33,26659,0,3515,,,13.76,N,N,,1
"  2815 Soma (1982 RL)",2.232,0.1690,5.71,119.79,237.65,1.855,2.61,3.34,25060,0,4780,,,12.85,N,N,6.641,1
"  2825 Crosby (1938 SD1)",2.245,0.1739,3.52,329.35,81.73,1.855,2.64,3.36,31179,0,4891,,,13.46,N,N,5.065,1
"  2847 Parvati (1959 CC1)",2.169,0.1161,2.45,246.87,12.10,1.917,2.42,3.19,29904,0,4975,,,12.83,N,N,6.879,1
"  2860 Pasacentennium (1978 TA)",2.333,0.2152,22.69,334.45,70.81,1.831,2.83,3.56,16426,0,4235,,,12.81,N,N,6.767,1
"  2871 Schober (1981 QC2)",2.258,0.1393,5.77,28.32,335.25,1.943,2.57,3.39,25296,0,5286,,,12.87,N,N,6.804,1
"  2873 Binzel (1982 FR)",2.251,0.1578,5.90,100.96,168.22,1.896,2.61,3.38,32368,0,9396,,,13.10,N,N,6.426,1
"  2883 Barabashov (1978 RG6)",2.245,0.0825,1.41,48.48,151.86,2.060,2.43,3.36,26901,0,4227,,,13.35,N,N,4.910,1
"  2966 Korsunia (1977 EB2)",2.448,0.1387,2.54,46.38,196.89,2.109,2.79,3.83,16981,0,4920,,,13.46,N,N,5.878,1
"  3034 Climenhaga (A917 SE)",2.324,0.2100,4.93,10.57,314.06,1.836,2.81,3.54,38819,0,4233,,,12.78,N,N,,1
"  3073 Kursk (1979 SW11)",2.243,0.1367,5.04,204.07,232.23,1.936,2.55,3.36,19802,0,3962,,,13.73,N,N,,1
"  3076 Garber (1982 RB1)",2.237,0.1893,7.71,195.49,166.54,1.814,2.66,3.35,43232,0,3840,,,13.61,N,N,4.938,1
"  3122 Florence (1981 ET3)",1.769,0.4231,22.14,336.06,27.88,1.020,2.52,2.35,16437,0,8448,6,0,14.10,Y,Y,4.9,2
"  3169 Ostro (1981 LA)",1.892,0.0670,24.90,96.35,32.63,1.765,2.02,2.6,25598,0,13497,,,12.86,N,N,4.662,1
"  3187 Dalian (1977 TO3)",2.283,0.0576,2.75,312.22,105.09,2.152,2.41,3.45,26655,0,4004,,,13.39,N,N,6.223,1
"  3309 Brorfelde (1982 BH)",1.817,0.0536,21.14,29.76,218.73,1.720,1.91,2.45,15341,0,3505,,,13.74,N,N,5.038,1
"  3378 Susanvictoria (A922 WB)",2.316,0.0917,8.08,335.87,92.54,2.104,2.53,3.52,36801,0,7740,,,13.83,N,N,6.637,1
"  3390 Demanet (1984 ES1)",2.253,0.1158,3.38,342.75,260.19,1.992,2.51,3.38,17129,0,4548,,,13.44,N,N,5.062,1
"  3433 Fehrenbach (1963 TJ1)",2.393,0.1876,4.51,336.55,74.40,1.944,2.84,3.7,32472,0,6782,,,12.91,N,N,7.745,1
"  3523 Arina (1975 TV2)",2.373,0.1344,9.68,55.58,159.54,2.054,2.69,3.66,34253,0,4074,,,12.38,N,N,9.071,1
"  3548 Eurybates (1973 SO)",5.208,0.0911,8.05,43.54,27.68,4.734,5.68,11.9,9502,0,3950,,,9.84,N,N,63.885,1
"  3657 Ermolova (1978 ST6)",2.313,0.1316,5.79,237.23,102.36,2.008,2.62,3.52,35809,0,7386,,,12.89,N,N,6.655,1
"  3669 Vertinskij (1982 UO7)",2.214,0.0702,4.82,90.88,35.79,2.059,2.37,3.3,26913,0,7165,,,13.39,N,N,6.243,1
"  3671 Dionysus (1984 KD)",2.2,0.5410,13.53,82.06,204.30,1.009,3.39,3.26,14475,0,1112,,,16.50,Y,Y,1.5,1
