"neo","pha","sats","H","diameter","e","a","q","i","om","w","ad","per_y","data_arc","n_obs_used","condition_code"
N,N,1,14.35,3.203,0.2317,2.579,1.982,3.51,10.74,59.20,3.18,4.14,26603,3503,0
N,N,1,13.31,,0.3163,1.996,1.365,29.75,263.29,344.90,2.63,2.82,26799,6176,0
N,N,1,13.62,4.988,0.1406,2.212,1.901,4.86,108.19,290.40,2.52,3.29,15113,3659,0
N,N,1,14.79,,0.1876,2.264,1.839,5.83,2.91,17.45,2.69,3.41,17652,2407,0
N,N,1,12.68,10.875,0.2708,2.36,1.721,23.28,68.77,252.03,3.00,3.63,25762,4060,0
N,N,1,14.79,,0.2373,2.164,1.650,3.14,308.39,9.66,2.68,3.18,16113,3339,0
N,N,1,13.79,4.021,0.2684,2.582,1.889,12.30,343.76,12.71,3.27,4.15,12039,2809,0
N,N,1,14.68,2.859,0.1774,2.271,1.868,4.60,265.96,14.33,2.67,3.42,11765,3032,0
N,N,1,14.79,,0.2343,2.366,1.812,2.75,143.97,210.51,2.92,3.64,16146,2742,0
N,N,1,14.42,3.742,0.1703,2.222,1.844,8.18,62.74,177.26,2.60,3.31,24757,3205,0
N,N,1,14.81,,0.3145,2.209,1.514,26.79,175.44,119.54,2.90,3.28,25419,2841,0
Y,N,1,17.41,,0.2550,1.72,1.281,14.43,132.60,140.66,2.16,2.26,15145,1631,0
N,N,1,14.67,1.720,0.0797,1.948,1.793,22.03,190.83,149.96,2.10,2.72,25498,2800,0
N,N,1,13.81,5.253,0.1383,2.4,2.068,2.42,7.60,181.11,2.73,3.72,26979,4262,0
N,N,1,14.37,3.078,0.2851,2.299,1.644,21.92,313.73,77.98,2.95,3.49,13422,2674,0
N,N,1,14.12,4.055,0.2067,2.237,1.775,6.42,285.99,39.67,2.70,3.35,12701,4331,0
N,N,1,9.96,57.341,0.0700,5.179,4.816,15.04,241.53,137.47,5.54,11.8,17278,2573,0
N,N,1,14.25,4.515,0.2139,2.316,1.820,6.41,153.77,207.72,2.81,3.52,13938,4556,0
N,N,1,14.06,,0.0231,2.84,2.774,2.44,34.29,222.17,2.91,4.79,19252,2648,0
N,N,1,14.56,,0.1842,2.204,1.798,5.29,199.73,290.80,2.61,3.27,26939,4019,0
N,N,1,14.21,3.446,0.1935,2.32,1.871,8.49,66.09,55.32,2.77,3.53,25594,3077,0
N,N,1,14.61,,0.2059,2.192,1.740,4.27,222.76,57.13,2.64,3.24,15884,2869,0
N,N,1,14.02,3.348,0.1440,2.398,2.053,5.46,243.37,104.50,2.74,3.71,26465,3402,0
N,N,1,14.81,2.144,0.0738,1.917,1.775,22.98,184.37,265.70,2.06,2.65,14573,2936,0
N,N,1,13.74,4.506,0.1938,2.287,1.844,6.83,273.28,66.27,2.73,3.46,12844,3868,0
N,N,1,13.36,4.942,0.0764,2.379,2.198,6.10,98.14,256.67,2.56,3.67,25220,4215,0
N,N,1,14.54,,0.2472,2.363,1.779,2.38,13.66,358.04,2.95,3.63,27083,2721,0
N,N,1,15.54,1.953,0.0844,2.186,2.002,3.73,320.26,178.88,2.37,3.23,12556,2424,0
N,N,1,13.46,4.988,0.1833,2.578,2.106,12.69,286.38,47.68,3.05,4.14,26678,3559,0
N,N,1,13.93,5.682,0.0853,2.847,2.604,2.88,135.95,220.35,3.09,4.8,10706,3317,0
N,N,1,15.67,,0.2991,1.904,1.335,19.35,143.74,153.41,2.47,2.63,14739,2235,0
N,N,1,14.98,,0.2148,2.32,1.822,6.36,261.37,92.04,2.82,3.53,11254,2800,0
N,N,1,15.11,,0.0849,1.926,1.762,21.65,35.49,1.61,2.09,2.67,14113,2571,0
N,N,1,15.07,,0.3615,2.171,1.386,29.75,75.29,133.08,2.96,3.2,25592,2652,0
N,N,1,14.86,2.899,0.1982,2.228,1.786,5.75,265.68,41.38,2.67,3.33,20267,2827,0
N,N,1,15.92,2.151,0.1006,2.319,2.085,3.79,188.55,108.84,2.55,3.53,16927,1806,0
N,N,1,15.07,,0.0892,1.811,1.650,31.61,102.79,73.34,1.97,2.44,16803,2529,0
N,N,1,5.78,,0.3731,48.12,30.166,13.47,183.00,132.25,66.07,334,15002,372,2
N,N,1,14.49,,0.0514,2.342,2.222,4.53,263.01,285.18,2.46,3.58,10716,2965,0
N,N,1,15.87,,0.1067,2.198,1.963,4.72,72.93,261.00,2.43,3.26,9549,2086,0
N,N,1,13.43,4.987,0.1544,1.918,1.622,19.69,268.68,58.93,2.21,2.66,10511,4002,0
N,N,1,14.80,1.816,0.0277,1.963,1.909,22.26,174.01,78.21,2.02,2.75,12064,2844,0
N,N,1,13.62,5.089,0.1893,2.354,1.908,24.67,316.16,186.18,2.80,3.61,15702,3323,0
Y,N,1,17.62,,0.3914,2.016,1.227,6.50,222.69,156.21,2.80,2.86,16315,1566,0
Y,N,1,17.24,,0.4297,2.03,1.157,5.96,299.73,350.50,2.90,2.89,9377,637,0
N,N,1,13.21,10.625,0.2668,2.393,1.755,10.74,323.89,18.78,3.03,3.7,20568,4262,0
N,N,1,14.63,,0.1928,2.192,1.769,6.31,221.79,144.25,2.61,3.25,11726,3557,0
N,N,1,14.77,,0.2813,2.224,1.598,6.50,303.81,353.32,2.85,3.32,25148,2880,0
N,N,1,14.95,,0.3810,2.255,1.396,8.68,66.42,42.08,3.11,3.39,22462,2319,0
Y,Y,1,16.91,0.929,0.1442,1.137,0.973,13.91,139.34,206.95,1.30,1.21,10771,4050,0
N,N,1,13.38,5.928,0.1864,2.562,2.085,12.70,339.08,62.65,3.04,4.1,15593,2962,0
N,N,1,14.32,3.423,0.1935,2.323,1.874,24.17,182.24,3.23,2.77,3.54,11092,3121,0
N,N,1,4.82,,0.2733,39.28,28.542,15.47,169.44,68.02,50.01,246,9939,845,1
N,N,1,7.64,192.000,0.5340,37.52,17.485,2.43,352.02,158.51,57.55,230,12227,504,1
N,N,1,15.84,,0.1887,2.349,1.906,1.97,126.23,204.02,2.79,3.6,9674,1646,0
